time/time_elapsed,time/total_timesteps,experiment_details/batch_size,experiment_details/timestamp,time/fps,time/iterations,experiment_details/n_steps,experiment_details/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
10102,49152,,,4,48,,,0.013300836,3.147076212545175e-08,0.07802734375,470,-1.3394535161554812,0.0003,-0.004207669050083495,0.01568061299622059,0.2,-0.06003117561340332,0.006134736842105263,2497.5789473684213,,
,50000,,,,,,,0.013553368,5.2141664250160424e-08,0.0384765625,480,-1.3153373159468174,0.0003,-0.0032090731838252395,0.0023952447809278965,0.2,-0.23614013195037842,,,0.0,2500.0
11472,50176,,,4,49,,,,,,,,,,,,,0.005828,2497.7,,
11576,51200,,,4,50,,,0.010654199,3.075365043736511e-08,0.0658203125,490,-1.2731137521564961,0.0003,-0.0035952143603935837,-0.03400735557079315,0.2,-0.3726261854171753,0.005828,2497.7,,
11680,52224,,,4,51,,,0.014944819,9.921974585269666e-08,0.05439453125,500,-1.2832843109965324,0.0003,-0.003672950388863683,-0.007851103320717812,0.2,0.16439133882522583,0.005828,2497.7,,
11785,53248,,,4,52,,,0.013929464,3.725896218845226e-08,0.0255859375,510,-1.298834853619337,0.0003,-0.0007634278110344895,0.029805053025484085,0.2,0.5441192984580994,0.005550476190476191,2497.809523809524,,
11890,54272,,,4,53,,,0.01032654,6.199095622799743e-08,0.11953125,520,-1.307893941551447,0.0003,-0.010457937495084479,-0.014732057228684425,0.2,0.4541492462158203,0.005550476190476191,2497.809523809524,,
11994,55296,,,4,54,,,0.01056648,8.124047616228647e-09,0.0923828125,530,-1.247742771357298,0.0003,-0.005403289993409999,-0.039656028151512146,0.2,0.3118911385536194,0.005298181818181818,2497.909090909091,,
12099,56320,,,4,55,,,0.017760824,2.605783415146057e-05,0.10498046875,540,-1.1657364331185818,0.0003,-0.007291306476690807,-0.00865248404443264,0.2,0.5681580007076263,0.005298181818181818,2497.909090909091,,
12203,57344,,,4,56,,,0.0050253,7.117862598660096e-07,0.03447265625,550,-1.1009170554578305,0.0003,-0.0015682738070609049,-0.019544679671525955,0.2,-0.04093503952026367,0.005298181818181818,2497.909090909091,,
